Order_ID	Order_Date	Customer_ID	Customer_Name	Product_ID	Product_Name	Product_Category	Supplier	Warehouse	Region	Delivery_City	Quantity_Ordered	Unit_Cost	Unit_Selling_Price	Sales_Amount	Total_Cost	Profit	Profit_Margin	Payment_Status	Payment_Amount	Outstanding_Amount	Order_Status	Shipping_Method	Carrier	Shipping_Cost	Expected_Delivery_Date	Actual_Delivery_Date	Delivery_Days	Delivery_Status	Inventory_Before_Order	Inventory_After_Order	Stock_Status	Discount_Percentage	Final_Sales_Amount	Order_Priority	Customer_Type	Payment_Date	Return_Status	Return_Quantity			
ORD00011	2025-02-08 00:00:00	CUST_015	Apex Global Enterprise 15	PROD_E03	Industrial Power Generator 15kVA	Electronics	Innoson Industrial Supplies	Port Harcourt Coastal Depot	Kano	Fagge	61	850000	1200000	73200000	51850000	21350000	0.291666667	Paid	73200000	0	Completed	Road	Chisco Logistics	52583.35	2025-02-13 00:00:00	2025-02-14 00:00:00	6	Delayed	213	152	In Stock	0	73200000	Low	Retail	2025-02-12 00:00:00	No Return	0			
ORD00012	2025-12-28 00:00:00	CUST_034	Client Business 34 Ltd	PROD_O03	Heavy-Duty Cross-Cut Paper Shredder	Office Supplies	Stallion Motors Distribution	Port Harcourt Coastal Depot	Lagos	Yaba	79	35000	58000	4582000	2765000	1817000	0.396551724	Pending	0	4582000	Cancelled	Road	DHL Express Nigeria	30155.21	2026-01-01 00:00:00			Not Applicable	93	14	Low Stock	0	4582000	High	Corporate		No Return	0			
ORD00013	2025-06-27 00:00:00	CUST_022	Client Business 22 Ltd	PROD_P03	Bubble Wrap Cushioning Roll 100m	Packaging Materials	Tropical General Distribution	Abuja Inland Logistics Depot	Lagos	Ikeja	47	8500	14000	658000	399500	258500	0.392857143	Paid	658000	0	Completed	Road	Speedaf Express	36067.96	2025-07-04 00:00:00	2025-07-04 00:00:00	7	On Time	199	152	In Stock	0	658000	Medium	Retail	2025-06-30 00:00:00	No Return	0			
ORD00014	2024-04-20 00:00:00	CUST_023	Apex Global Enterprise 23	PROD_E04	Digital Warehouse Barcode Scanner	Electronics	Tropical General Distribution	Ibadan Western Hub	Lagos	Lekki	59	25000	45000	2655000	1475000	1180000	0.444444444	Overdue	0	2655000	Completed	Road	Konga Express	40566.25	2024-04-22 00:00:00	2024-04-22 00:00:00	2	On Time	99	40	In Stock	0.05	2522250	Medium	Retail		Partial Return	18			
ORD00015	2024-04-26 00:00:00	CUST_004	Client Business 4 Ltd	PROD_A01	Heavy Duty Commercial Truck Tire 12R22.5	Automotive Parts	Stallion Motors Distribution	Kano Commercial Warehouse	Kaduna	Kaduna North	21	110000	165000	3465000	2310000	1155000	0.333333333	Paid	3465000	0	Processing	Road	Konga Express	21119.57	2024-05-02 00:00:00			Pending	62	41	In Stock	0	3465000	Medium	Wholesale	2024-04-27 00:00:00	No Return	0			
ORD00016	2025-04-07 00:00:00	CUST_023	Apex Global Enterprise 23	PROD_I01	Hydraulic Pallet Truck 3-Ton	Industrial Equipment	BUA Group Procurement	Lagos Mega Central Hub	Oyo	Ibadan Central	36	150000	220000	7920000	5400000	2520000	0.318181818	Paid	7920000	0	Completed	Road	Konga Express	31124.68	2025-04-11 00:00:00	2025-04-11 00:00:00	4	On Time	141	105	In Stock	0	7920000	Medium	Retail	2025-04-14 00:00:00	No Return	0			
ORD00017	2024-04-22 00:00:00	CUST_009	Apex Global Enterprise 9	PROD_E04	Digital Warehouse Barcode Scanner	Electronics	Tropical General Distribution	Abuja Inland Logistics Depot	Lagos	Yaba	9	25000	45000	405000	225000	180000	0.444444444	Partial	184864.4	220135.6	Completed	Road	Konga Express	9702.99	2024-04-24 00:00:00	2024-04-24 00:00:00	2	On Time	64	55	In Stock	0	405000	Low	Wholesale	2024-04-24 00:00:00	No Return	0			
ORD00018	2024-04-25 00:00:00	CUST_024	Client Business 24 Ltd	PROD_E02	Lithium Battery Pack 48V	Electronics	BUA Group Procurement	Ibadan Western Hub	Lagos	Apapa	12	450000	620000	7440000	5400000	2040000	0.274193548	Paid	5952000	1488000	Completed	Road	ABC Transport Logistics	8504.37	2024-04-29 00:00:00	2024-05-02 00:00:00	7	Delayed	188	176	In Stock	0.2	5952000	Low	Wholesale	2024-05-03 00:00:00	No Return	0			
ORD00019	2025-09-10 00:00:00	CUST_021	Apex Global Enterprise 21	PROD_H02	Industrial Air Conditioner 3HP	Home Appliances	BUA Group Procurement	Lagos Mega Central Hub	Delta	Asaba	43	180000	260000	11180000	7740000	3440000	0.307692308	Paid	9503000	1677000	Completed	Road	GIG Logistics	22348.61	2025-09-13 00:00:00	2025-09-13 00:00:00	3	On Time	153	110	In Stock	0.15	9503000	Medium	Wholesale	2025-09-17 00:00:00	No Return	0			
ORD00020	2024-02-25 00:00:00	CUST_016	Client Business 16 Ltd	PROD_C02	High-Tensile Steel Rebar 12mm (Ton)	Construction Materials	BUA Group Procurement	Port Harcourt Coastal Depot	Lagos	Yaba	22	520000	680000	14960000	11440000	3520000	0.235294118	Paid	11968000	2992000	Completed	Road	GIG Logistics	22096.13	2024-03-03 00:00:00	2024-03-06 00:00:00	10	Delayed	225	203	In Stock	0.2	11968000	High	Retail	2024-03-06 00:00:00	No Return	0			
ORD00021	2024-04-23 00:00:00	CUST_025	Apex Global Enterprise 25	PROD_I03	Industrial Packaging Strapping Machine	Industrial Equipment	Honeywell Logistics	Lagos Mega Central Hub	Kano	Fagge	40	320000	480000	19200000	12800000	6400000	0.333333333	Paid	16320000	2880000	Completed	Sea	DHL Express Nigeria	34253.88	2024-04-27 00:00:00	2024-04-27 00:00:00	4	On Time	70	30	In Stock	0.15	16320000	Medium	Wholesale	2024-05-04 00:00:00	No Return	0			
ORD00022	2025-07-10 00:00:00	CUST_026	Client Business 26 Ltd	PROD_E04	Digital Warehouse Barcode Scanner	Electronics	MainOne Distribution	Abuja Inland Logistics Depot	Kano	Fagge	49	25000	45000	2205000	1225000	980000	0.444444444	Partial	1047375	1157625	Processing	Sea	DHL Express Nigeria	44248.04	2025-07-17 00:00:00			Pending	175	126	In Stock	0.05	2094750	Low	Corporate	2025-07-12 00:00:00	No Return	0			
ORD00023	2025-02-25 00:00:00	CUST_009	Apex Global Enterprise 9	PROD_C02	High-Tensile Steel Rebar 12mm (Ton)	Construction Materials	United Africa Supplies	Lagos Mega Central Hub	Oyo	Ibadan Central	32	520000	680000	21760000	16640000	5120000	0.235294118	Paid	20672000	1088000	Completed	Sea	MAX.ng Freight	29749.33	2025-03-01 00:00:00	2025-03-02 00:00:00	5	Delayed	202	170	In Stock	0.05	20672000	Low	Wholesale	2025-03-04 00:00:00	No Return	0			
ORD00024	2025-02-23 00:00:00	CUST_015	Apex Global Enterprise 15	PROD_A01	Heavy Duty Commercial Truck Tire 12R22.5	Automotive Parts	United Africa Supplies	Port Harcourt Coastal Depot	Lagos	Ikeja	76	110000	165000	12540000	8360000	4180000	0.333333333	Partial	4446949.25	8093050.75	Completed	Road	Speedaf Express	66195.74	2025-02-27 00:00:00	2025-03-05 00:00:00	10	Delayed	141	65	In Stock	0.1	11286000	Medium	Retail	2025-03-10 00:00:00	No Return	0			
ORD00025	2024-04-26 00:00:00	CUST_033	Apex Global Enterprise 33	PROD_O01	Ergonomic Executive Mesh Chair	Office Supplies	Dangote Logistics & Supplies Ltd	Kano Commercial Warehouse	Delta	Asaba	59	45000	75000	4425000	2655000	1770000	0.4	Partial	1754184.05	2670815.95	Completed	Air	Konga Express	55768.48	2024-04-28 00:00:00	2024-04-28 00:00:00	2	On Time	73	14	Low Stock	0.15	3761250	High	Retail	2024-05-04 00:00:00	No Return	0			
ORD00026	2025-10-17 00:00:00	CUST_001	Apex Global Enterprise 1	PROD_E02	Lithium Battery Pack 48V	Electronics	Dangote Logistics & Supplies Ltd	Kano Commercial Warehouse	Abuja	Kubwa	11	450000	620000	6820000	4950000	1870000	0.274193548	Partial	2506036.05	4313963.95	Completed	Courier	Konga Express	14049.95	2025-10-19 00:00:00	2025-10-18 00:00:00	1	On Time	224	213	In Stock	0.05	6479000	Low	Wholesale	2025-10-19 00:00:00	Returned	11			
ORD00027	2024-11-19 00:00:00	CUST_005	Apex Global Enterprise 5	PROD_I03	Industrial Packaging Strapping Machine	Industrial Equipment	MainOne Distribution	Ibadan Western Hub	Lagos	Ikorodu	62	320000	480000	29760000	19840000	9920000	0.333333333	Pending	0	29760000	Cancelled	Air	Red Star Express	62066.85	2024-11-23 00:00:00			Not Applicable	205	143	In Stock	0	29760000	Medium	Retail		No Return	0			
ORD00028	2025-05-19 00:00:00	CUST_009	Apex Global Enterprise 9	PROD_E04	Digital Warehouse Barcode Scanner	Electronics	BUA Group Procurement	Kano Commercial Warehouse	Abuja	Gwarinpa	24	25000	45000	1080000	600000	480000	0.444444444	Paid	1080000	0	Completed	Road	GIG Logistics	19355.88	2025-05-25 00:00:00	2025-05-24 00:00:00	5	On Time	248	224	In Stock	0	1080000	Medium	Wholesale	2025-05-20 00:00:00	No Return	0			
ORD00029	2024-12-18 00:00:00	CUST_006	Client Business 6 Ltd	PROD_O03	Heavy-Duty Cross-Cut Paper Shredder	Office Supplies	SinoHydro Equipment Ltd	Lagos Mega Central Hub	Abuja	Kubwa	62	35000	58000	3596000	2170000	1426000	0.396551724	Paid	3416200	179800	Completed	Road	MAX.ng Freight	56013.09	2024-12-20 00:00:00	2024-12-19 00:00:00	1	On Time	234	172	In Stock	0.05	3416200	High	Retail	2024-12-31 00:00:00	No Return	0			
ORD00030	2024-08-03 00:00:00	CUST_028	Client Business 28 Ltd	PROD_P02	Heavy Duty Corrugated Boxes (Pack of 50)	Packaging Materials	Zenith Global Procurement	Lagos Mega Central Hub	Lagos	Ikeja	51	18000	28000	1428000	918000	510000	0.357142857	Paid	1428000	0	Processing	Road	MAX.ng Freight	23631.05	2024-08-09 00:00:00			Pending	66	15	Low Stock	0	1428000	Medium	Wholesale	2024-08-04 00:00:00	No Return	0			
ORD00031	2025-06-09 00:00:00	CUST_026	Client Business 26 Ltd	PROD_P01	Industrial Stretch Wrap Film (6 Rolls)	Packaging Materials	BUA Group Procurement	Kano Commercial Warehouse	Anambra	Nnewi	76	15000	24000	1824000	1140000	684000	0.375	Partial	1196962.97	627037.03	Completed	Road	Konga Express	24562.42	2025-06-13 00:00:00	2025-06-13 00:00:00	4	On Time	249	173	In Stock	0.05	1732800	Medium	Corporate	2025-06-12 00:00:00	No Return	0			
ORD00032	2024-03-28 00:00:00	CUST_028	Client Business 28 Ltd	PROD_I01	Hydraulic Pallet Truck 3-Ton	Industrial Equipment	Zenith Global Procurement	Kano Commercial Warehouse	Lagos	Ikorodu	11	150000	220000	2420000	1650000	770000	0.318181818	Paid	1936000	484000	Completed	Air	Speedaf Express	23034.3	2024-03-31 00:00:00	2024-04-01 00:00:00	4	Delayed	134	123	In Stock	0.2	1936000	Medium	Wholesale	2024-03-30 00:00:00	Returned	11			
ORD00033	2024-01-16 00:00:00	CUST_015	Apex Global Enterprise 15	PROD_O03	Heavy-Duty Cross-Cut Paper Shredder	Office Supplies	Tropical General Distribution	Lagos Mega Central Hub	Enugu	Enugu Urban	39	35000	58000	2262000	1365000	897000	0.396551724	Paid	2262000	0	Completed	Road	DHL Express Nigeria	19466.73	2024-01-19 00:00:00	2024-01-20 00:00:00	4	Delayed	197	158	In Stock	0	2262000	High	Retail	2024-01-22 00:00:00	No Return	0			
ORD00034	2024-02-11 00:00:00	CUST_006	Client Business 6 Ltd	PROD_C03	Galvanized Roofing Sheet Bundle	Construction Materials	Stallion Motors Distribution	Lagos Mega Central Hub	Abuja	Wuse	6	140000	195000	1170000	840000	330000	0.282051282	Overdue	0	1170000	Completed	Road	DHL Express Nigeria	7597.37	2024-02-13 00:00:00	2024-02-13 00:00:00	2	On Time	84	78	In Stock	0	1170000	High	Retail		No Return	0			
ORD00035	2025-09-24 00:00:00	CUST_027	Apex Global Enterprise 27	PROD_I01	Hydraulic Pallet Truck 3-Ton	Industrial Equipment	Honeywell Logistics	Abuja Inland Logistics Depot	Lagos	Apapa	42	150000	220000	9240000	6300000	2940000	0.318181818	Pending	0	9240000	Cancelled	Road	MAX.ng Freight	30377.79	2025-09-30 00:00:00			Not Applicable	87	45	In Stock	0.15	7854000	High	Retail		No Return	0			
ORD00036	2025-04-22 00:00:00	CUST_004	Client Business 4 Ltd	PROD_C01	Portland Cement 50kg Bag (Pallet of 100)	Construction Materials	Stallion Motors Distribution	Port Harcourt Coastal Depot	Lagos	Ikeja	59	450000	580000	34220000	26550000	7670000	0.224137931	Paid	34220000	0	Completed	Courier	DHL Express Nigeria	32371.58	2025-04-27 00:00:00	2025-04-27 00:00:00	5	On Time	116	57	In Stock	0	34220000	High	Wholesale	2025-04-28 00:00:00	No Return	0			
ORD00037	2024-08-02 00:00:00	CUST_011	Apex Global Enterprise 11	PROD_P02	Heavy Duty Corrugated Boxes (Pack of 50)	Packaging Materials	Dangote Logistics & Supplies Ltd	Kano Commercial Warehouse	Kano	Kano Municipal	14	18000	28000	392000	252000	140000	0.357142857	Paid	392000	0	Completed	Road	MAX.ng Freight	9378.24	2024-08-06 00:00:00	2024-08-06 00:00:00	4	On Time	41	27	In Stock	0	392000	High	Retail	2024-08-04 00:00:00	Returned	14			
ORD00038	2025-01-14 00:00:00	CUST_021	Apex Global Enterprise 21	PROD_O02	A4 Copy Paper Box (5 Reams)	Office Supplies	Innoson Industrial Supplies	Lagos Mega Central Hub	Rivers	Eleme	46	12000	18000	828000	552000	276000	0.333333333	Paid	828000	0	Completed	Road	Chisco Logistics	29552.05	2025-01-20 00:00:00	2025-01-20 00:00:00	6	On Time	235	189	In Stock	0	828000	High	Wholesale	2025-01-16 00:00:00	No Return	0			
ORD00039	2025-10-23 00:00:00	CUST_030	Client Business 30 Ltd	PROD_A01	Heavy Duty Commercial Truck Tire 12R22.5	Automotive Parts	SinoHydro Equipment Ltd	Kano Commercial Warehouse	Anambra	Awka	79	110000	165000	13035000	8690000	4345000	0.333333333	Paid	11079750	1955250	Completed	Road	Red Star Express	42013.51	2025-10-27 00:00:00	2025-11-02 00:00:00	10	Delayed	171	92	In Stock	0.15	11079750	High	Retail	2025-10-25 00:00:00	No Return	0			
ORD00040	2025-11-10 00:00:00	CUST_018	Client Business 18 Ltd	PROD_P01	Industrial Stretch Wrap Film (6 Rolls)	Packaging Materials	Zenith Global Procurement	Port Harcourt Coastal Depot	Rivers	Eleme	18	15000	24000	432000	270000	162000	0.375	Paid	432000	0	Completed	Road	Konga Express	16730.55	2025-11-16 00:00:00	2025-11-16 00:00:00	6	On Time	245	227	In Stock	0	432000	Medium	Wholesale	2025-11-23 00:00:00	No Return	0			
ORD00041	2024-06-13 00:00:00	CUST_035	Apex Global Enterprise 35	PROD_C01	Portland Cement 50kg Bag (Pallet of 100)	Construction Materials	United Africa Supplies	Lagos Mega Central Hub	Kano	Fagge	71	450000	580000	41180000	31950000	9230000	0.224137931	Partial	20843804.9	20336195.1	Completed	Road	Konga Express	56985.14	2024-06-19 00:00:00	2024-06-20 00:00:00	7	Delayed	236	165	In Stock	0.05	39121000	High	Corporate	2024-06-30 00:00:00	No Return	0			
ORD00042	2024-12-03 00:00:00	CUST_003	Apex Global Enterprise 3	PROD_O02	A4 Copy Paper Box (5 Reams)	Office Supplies	Honeywell Logistics	Kano Commercial Warehouse	Lagos	Apapa	67	12000	18000	1206000	804000	402000	0.333333333	Paid	1206000	0	Completed	Road	Speedaf Express	40986.42	2024-12-07 00:00:00	2024-12-07 00:00:00	4	On Time	212	145	In Stock	0	1206000	Low	Corporate	2024-12-13 00:00:00	No Return	0			
ORD00043	2025-12-17 00:00:00	CUST_012	Client Business 12 Ltd	PROD_I02	Electric Forklift Battery Unit	Industrial Equipment	Tropical General Distribution	Ibadan Western Hub	Anambra	Awka	42	950000	1400000	58800000	39900000	18900000	0.321428571	Paid	55860000	2940000	Completed	Air	Konga Express	44033.28	2025-12-22 00:00:00	2025-12-21 00:00:00	4	On Time	214	172	In Stock	0.05	55860000	Medium	Corporate	2025-12-22 00:00:00	No Return	0			
ORD00044	2024-03-24 00:00:00	CUST_027	Apex Global Enterprise 27	PROD_P01	Industrial Stretch Wrap Film (6 Rolls)	Packaging Materials	Dangote Logistics & Supplies Ltd	Lagos Mega Central Hub	Anambra	Onitsha	3	15000	24000	72000	45000	27000	0.375	Paid	64800	7200	Completed	Road	Speedaf Express	7523.12	2024-03-28 00:00:00	2024-03-29 00:00:00	5	Delayed	141	138	In Stock	0.1	64800	Critical	Retail	2024-03-26 00:00:00	No Return	0			
ORD00045	2024-10-16 00:00:00	CUST_030	Client Business 30 Ltd	PROD_O02	A4 Copy Paper Box (5 Reams)	Office Supplies	BUA Group Procurement	Lagos Mega Central Hub	Abuja	Garki	11	12000	18000	198000	132000	66000	0.333333333	Paid	198000	0	Completed	Road	Chisco Logistics	8463.5	2024-10-19 00:00:00	2024-10-20 00:00:00	4	Delayed	154	143	In Stock	0	198000	Medium	Retail	2024-10-26 00:00:00	No Return	0			
ORD00046	2024-07-14 00:00:00	CUST_021	Apex Global Enterprise 21	PROD_E01	Heavy-Duty Solar Inverter 5kVA	Electronics	BUA Group Procurement	Ibadan Western Hub	Lagos	Apapa	11	120000	180000	1980000	1320000	660000	0.333333333	Paid	1980000	0	Completed	Road	Red Star Express	10653.04	2024-07-18 00:00:00	2024-07-18 00:00:00	4	On Time	211	200	In Stock	0	1980000	High	Wholesale	2024-07-25 00:00:00	No Return	0			
ORD00047	2024-01-04 00:00:00	CUST_021	Apex Global Enterprise 21	PROD_H03	Heavy Duty Standing Industrial Fan	Home Appliances	Dangote Logistics & Supplies Ltd	Lagos Mega Central Hub	Oyo	Ogbomoso	60	18000	32000	1920000	1080000	840000	0.4375	Partial	1029826.21	890173.79	Completed	Road	Konga Express	35278.45	2024-01-09 00:00:00	2024-01-10 00:00:00	6	Delayed	165	105	In Stock	0	1920000	Medium	Wholesale	2024-01-17 00:00:00	No Return	0			
ORD00048	2025-12-16 00:00:00	CUST_015	Apex Global Enterprise 15	PROD_I02	Electric Forklift Battery Unit	Industrial Equipment	United Africa Supplies	Ibadan Western Hub	Kaduna	Kaduna North	77	950000	1400000	107800000	73150000	34650000	0.321428571	Paid	102410000	5390000	Completed	Road	Speedaf Express	34705.1	2025-12-18 00:00:00	2025-12-18 00:00:00	2	On Time	53	-24	Out of Stock	0.05	102410000	Medium	Retail	2025-12-26 00:00:00	No Return	0			
ORD00049	2024-06-27 00:00:00	CUST_018	Client Business 18 Ltd	PROD_E01	Heavy-Duty Solar Inverter 5kVA	Electronics	MainOne Distribution	Lagos Mega Central Hub	Kano	Fagge	14	120000	180000	2520000	1680000	840000	0.333333333	Paid	2520000	0	Completed	Road	Chisco Logistics	9869.37	2024-07-04 00:00:00	2024-07-03 00:00:00	6	On Time	85	71	In Stock	0	2520000	Low	Wholesale	2024-06-27 00:00:00	No Return	0			
ORD00050	2024-08-11 00:00:00	CUST_029	Apex Global Enterprise 29	PROD_O01	Ergonomic Executive Mesh Chair	Office Supplies	Honeywell Logistics	Abuja Inland Logistics Depot	Abuja	Gwarinpa	52	45000	75000	3900000	2340000	1560000	0.4	Paid	3900000	0	Completed	Road	GIG Logistics	31201.56	2024-08-13 00:00:00	2024-08-13 00:00:00	2	On Time	40	-12	Out of Stock	0	3900000	Medium	Wholesale	2024-08-14 00:00:00	Returned	52			
ORD00051	2024-06-15 00:00:00	CUST_021	Apex Global Enterprise 21	PROD_I01	Hydraulic Pallet Truck 3-Ton	Industrial Equipment	Zenith Global Procurement	Lagos Mega Central Hub	Enugu	Enugu Urban	51	150000	220000	11220000	7650000	3570000	0.318181818	Paid	10659000	561000	Completed	Road	Konga Express	22065.85	2024-06-19 00:00:00	2024-06-19 00:00:00	4	On Time	68	17	Low Stock	0.05	10659000	Low	Wholesale	2024-06-23 00:00:00	Returned	51			
ORD00052	2024-02-21 00:00:00	CUST_017	Apex Global Enterprise 17	PROD_I04	Heavy Duty Rubber Conveyor Belt 10m	Industrial Equipment	Dangote Logistics & Supplies Ltd	Lagos Mega Central Hub	Lagos	Lekki	70	280000	420000	29400000	19600000	9800000	0.333333333	Paid	29400000	0	Completed	Courier	Chisco Logistics	22733.05	2024-02-23 00:00:00	2024-02-24 00:00:00	3	Delayed	218	148	In Stock	0	29400000	Medium	Wholesale	2024-02-26 00:00:00	No Return	0			
ORD00053	2024-08-21 00:00:00	CUST_018	Client Business 18 Ltd	PROD_A02	Synthetic Diesel Engine Oil 20L Drum	Automotive Parts	United Africa Supplies	Abuja Inland Logistics Depot	Abuja	Gwarinpa	14	28000	42000	588000	392000	196000	0.333333333	Pending	0	588000	Cancelled	Road	MAX.ng Freight	14356.24	2024-08-28 00:00:00			Not Applicable	175	161	In Stock	0	588000	Medium	Wholesale		No Return	0			
ORD00054	2025-11-30 00:00:00	CUST_012	Client Business 12 Ltd	PROD_P03	Bubble Wrap Cushioning Roll 100m	Packaging Materials	United Africa Supplies	Abuja Inland Logistics Depot	Lagos	Ikeja	81	8500	14000	1134000	688500	445500	0.392857143	Pending	0	1134000	Processing	Road	Konga Express	59292.44	2025-12-05 00:00:00			Pending	51	-30	Out of Stock	0	1134000	Medium	Corporate		No Return	0			
ORD00055	2024-11-09 00:00:00	CUST_011	Apex Global Enterprise 11	PROD_I01	Hydraulic Pallet Truck 3-Ton	Industrial Equipment	Zenith Global Procurement	Lagos Mega Central Hub	Lagos	Yaba	43	150000	220000	9460000	6450000	3010000	0.318181818	Paid	8514000	946000	Completed	Road	Chisco Logistics	26574.41	2024-11-11 00:00:00	2024-11-11 00:00:00	2	On Time	93	50	In Stock	0.1	8514000	Medium	Retail	2024-11-13 00:00:00	No Return	0			
ORD00056	2025-10-24 00:00:00	CUST_020	Client Business 20 Ltd	PROD_E03	Industrial Power Generator 15kVA	Electronics	SinoHydro Equipment Ltd	Kano Commercial Warehouse	Delta	Asaba	78	850000	1200000	93600000	66300000	27300000	0.291666667	Pending	0	93600000	Cancelled	Road	DHL Express Nigeria	52172.04	2025-10-28 00:00:00			Not Applicable	241	163	In Stock	0	93600000	Medium	Retail		No Return	0			
